Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3ZnaDm5OFyBNKWGOVBgQfx,Superhot (Hyperhot Mix),Superhot: Mind Control Delete Soundtrack,Zardonic,2020-07-16,293120,29,FALSE,312gz2r7n2lelghlsheflimsl64e,2026-01-31T02:54:47Z,"인더스트리얼 메탈,데스스텝,드럼 앤 베이스,인더스트리얼",Superhot,0.426,0.974,4,-4.242,0,0.102,0.0000211,0.942,0.349,0.0352,175,4
spotify:track:08EDz6781IVLc3qMn3VneT,Mula,Mula,Eliminate,2020-01-31,216800,0,FALSE,312gz2r7n2lelghlsheflimsl64e,2026-01-31T02:54:47Z,"덥스텝,리딤,베이스 음악,데스스텝,베이스 하우스",Sable Valley Records,0.635,0.841,0,-1.212,0,0.0742,0.0304,0.00177,0.0347,0.188,149.996,4
spotify:track:2rCM9E5gZK2YRiIClGsGpu,Gold Dust - Fox Stevenson Remix,Gold Dust (Fox Stevenson Remix),DJ Fresh;Fox Stevenson,2022-03-17,233103,51,FALSE,312gz2r7n2lelghlsheflimsl64e,2026-01-31T02:54:47Z,"드럼 앤 베이스,덥스텝,드럼스텝",Breakbeat Kaos,0.543,0.981,0,0.836,1,0.0492,0.00311,0.00148,0.151,0.43,174,4
spotify:track:2fBImyKfTG6MTIZwqGhnpo,Too Much,RESET,Party Favor,2022-06-17,219242,23,FALSE,312gz2r7n2lelghlsheflimsl64e,2026-01-31T02:54:47Z,edm 트랩,"Ultra Records, LLC",0.612,0.89,1,-5.582,1,0.0628,0.00151,0.868,0.0894,0.397,127.013,4
spotify:track:7Fdw5PCKFHkHJAhhDIj0qA,Wait,Wait,NEUNOSIEM,2020-11-13,179238,25,FALSE,312gz2r7n2lelghlsheflimsl64e,2026-01-31T02:54:47Z,베이스 하우스,Night Mode,0.587,0.93,8,-2.231,0,0.0392,0.00795,0.0209,0.151,0.0384,105.043,4
spotify:track:0ODqxq10jngY9wxlg3N2GD,Existence (VIP),Existence EP,Excision;Downlink,2011-07-25,248178,0,FALSE,312gz2r7n2lelghlsheflimsl64e,2026-01-31T02:54:47Z,"덥스텝,리딤,데스스텝,EDM,덥,멜로딕 베이스,베이스 음악,드럼스텝",Rottun Recordings,0.428,0.916,2,-5.22,1,0.239,0.000211,0.304,0.109,0.148,136.663,4
spotify:track:5jAwWiebm6MVNndxr9LvkO,iLIKE,iLIKE,D'Amico & Valax;TonyLaces,2022-09-02,164761,0,FALSE,312gz2r7n2lelghlsheflimsl64e,2026-01-31T02:54:47Z,"베이스 하우스,테크 하우스",Bass House Music,0.623,0.893,2,-4.169,1,0.0675,0.00881,0.000066,0.504,0.457,126.128,4
spotify:track:1x5QWV9puSWAdBh6pb4Zk8,All I Need,All I Need,RageMode,2021-12-17,197076,0,FALSE,312gz2r7n2lelghlsheflimsl64e,2026-01-31T02:54:47Z,"베이스 하우스,드럼 앤 베이스",Bass House Music,0.708,0.906,2,-4.067,1,0.0539,0.00984,0.307,0.29,0.19,130.046,4
spotify:track:6c71O0u6GNKMb622zjgmaK,Tempted,Tempted,Max Kilian;Eloy Hoose,2022-04-22,142500,0,FALSE,312gz2r7n2lelghlsheflimsl64e,2026-01-31T02:54:47Z,"테크 하우스,베이스 하우스",Bass House Music,0.677,0.892,11,-5.947,0,0.0864,0.00468,0.873,0.268,0.196,127.997,4
spotify:track:0SAU0GKrJNipUiQdfMukja,Here For You,Here For You,POLTERGST,2022-08-19,179520,0,FALSE,312gz2r7n2lelghlsheflimsl64e,2026-01-31T02:54:47Z,"하이퍼테크노,하드 테크노,테크노",Bass House Music,0.634,0.89,7,-7.129,1,0.0548,0.0011,0.84,0.151,0.25,125.029,4
